Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
SF,30,25,21,29.8,4.4,10.0,0.436,1.6,4.0,0.404,2.8,6.0,0.457,0.516,1.3,1.8,0.75,0.5,3.2,3.7,3.2,0.8,0.4,1.5,1.8,11.6
PF,22,39,1,9.7,1.5,2.3,0.644,0.0,0.0,0.0,1.5,2.3,0.652,0.644,0.6,1.2,0.522,0.6,1.0,1.7,0.4,0.3,0.3,0.4,1.2,3.6
C,27,20,6,15.8,2.6,5.8,0.452,0.8,2.0,0.385,1.9,3.8,0.487,0.517,0.7,1.2,0.609,1.0,3.5,4.5,2.0,0.2,0.5,0.5,1.6,6.7
PF,24,26,2,17.7,3.9,7.7,0.507,0.5,1.4,0.333,3.5,6.3,0.545,0.537,1.7,2.4,0.714,0.9,2.5,3.4,1.3,0.2,0.1,0.8,1.7,10.0
C,35,18,18,26.7,5.9,12.5,0.476,1.3,3.7,0.358,4.6,8.8,0.525,0.529,0.9,1.2,0.762,0.8,3.5,4.3,1.9,0.4,0.9,0.9,1.5,14.1
PG,26,30,30,27.7,5.2,11.8,0.441,0.5,1.9,0.25,4.7,9.9,0.477,0.46,1.4,1.9,0.719,1.3,2.6,3.8,3.6,0.6,0.2,1.9,2.0,12.2
SG,27,18,1,15.3,1.7,3.4,0.5,0.4,1.2,0.333,1.3,2.3,0.585,0.556,1.1,1.6,0.69,0.9,1.6,2.5,0.4,0.9,0.1,0.6,1.2,4.9
PF,31,23,2,15.3,1.6,4.0,0.387,0.9,2.7,0.323,0.7,1.3,0.516,0.495,0.6,0.8,0.722,0.6,2.9,3.5,0.9,0.2,0.3,0.5,1.5,4.6
C,28,73,11,20.7,3.8,7.5,0.506,0.0,0.0,0.0,3.8,7.5,0.507,0.506,1.2,1.7,0.712,2.1,4.0,6.2,1.2,0.5,0.5,1.3,2.1,8.8
PG,20,25,17,26.7,4.0,10.8,0.375,1.1,3.3,0.325,3.0,7.4,0.398,0.426,1.8,2.2,0.836,0.8,3.6,4.4,3.8,0.7,0.4,2.0,2.0,11.0
PG,31,69,0,16.1,2.7,6.8,0.401,1.0,2.7,0.357,1.8,4.1,0.43,0.471,0.7,0.9,0.766,0.3,1.2,1.5,2.6,0.4,0.1,1.2,1.9,7.1
C,29,76,2,15.5,3.2,6.6,0.485,0.1,0.2,0.25,3.2,6.4,0.493,0.489,0.7,0.9,0.806,0.7,2.2,2.9,0.8,0.4,0.9,0.8,2.1,7.2
SG,23,34,0,4.2,0.4,1.4,0.265,0.1,0.6,0.238,0.2,0.8,0.286,0.316,0.1,0.1,1.0,0.3,0.6,0.9,0.3,0.1,0.0,0.3,0.2,1.1
PG,23,3,0,9.3,0.7,3.3,0.2,0.0,1.3,0.0,0.7,2.0,0.333,0.2,1.7,2.0,0.833,0.0,0.7,0.7,1.0,1.0,0.0,0.3,1.3,3.0
SG,22,25,22,26.6,4.0,10.0,0.406,1.6,4.4,0.355,2.5,5.6,0.446,0.484,1.1,1.4,0.8,0.2,2.7,2.9,1.7,0.5,0.4,1.0,2.1,10.8
C,38,5,0,3.8,0.6,1.0,0.6,0.0,0.0,0.0,0.6,1.0,0.6,0.6,0.4,0.4,1.0,0.2,0.6,0.8,0.0,0.0,0.0,0.6,0.8,1.6
PF,27,66,7,30.4,6.0,14.1,0.427,2.0,5.4,0.366,4.0,8.7,0.466,0.498,3.0,3.5,0.873,2.0,4.0,6.0,1.1,0.6,0.4,1.4,1.7,17.0
PG,21,39,0,8.0,0.7,2.7,0.274,0.2,0.7,0.222,0.6,2.0,0.291,0.302,0.2,0.3,0.8,0.6,1.0,1.6,0.9,0.2,0.0,0.5,0.6,1.8
SF,21,17,7,13.5,0.8,2.1,0.389,0.5,1.3,0.409,0.3,0.8,0.357,0.514,0.1,0.2,0.667,0.5,1.8,2.2,0.5,0.2,0.2,0.4,1.6,2.3
SG,25,80,80,33.3,8.1,17.3,0.47,3.5,8.1,0.425,4.7,9.2,0.51,0.569,2.4,2.8,0.873,0.4,3.4,3.8,2.1,0.8,0.6,1.7,1.9,22.1
SF,22,6,0,4.5,0.8,2.5,0.333,0.5,1.7,0.3,0.3,0.8,0.4,0.433,0.5,0.7,0.75,0.0,0.7,0.7,0.5,0.2,0.2,0.7,0.0,2.7
PG,22,4,0,10.5,1.5,3.5,0.429,1.3,2.3,0.556,0.3,1.3,0.2,0.607,0.3,0.8,0.333,0.3,0.8,1.0,0.8,0.8,0.0,0.5,1.8,4.5
SF,25,28,2,28.0,3.1,7.0,0.451,1.4,4.1,0.348,1.7,2.9,0.6,0.554,1.1,1.6,0.711,1.0,6.4,7.5,2.1,0.8,0.2,0.8,2.2,8.9
SG,28,79,79,26.1,2.7,7.1,0.376,1.5,4.4,0.332,1.2,2.7,0.448,0.48,0.4,0.6,0.739,0.6,3.2,3.8,1.8,1.0,0.8,0.9,1.8,7.2
SF,28,23,5,19.0,2.1,5.7,0.366,0.6,2.0,0.298,1.5,3.7,0.405,0.42,0.2,0.3,0.667,0.2,1.5,1.7,1.2,0.7,0.1,0.8,1.4,5.0
C,26,25,1,12.8,1.2,3.0,0.413,0.0,0.0,0.0,1.2,3.0,0.413,0.413,1.0,1.5,0.658,1.3,1.6,2.9,0.6,0.2,0.4,0.5,1.7,3.5
PG,27,77,53,29.1,5.2,12.6,0.411,0.7,2.2,0.329,4.4,10.4,0.428,0.44,1.6,2.3,0.693,0.6,3.4,4.0,6.5,1.1,0.3,2.3,1.7,12.6
SF,25,22,5,15.0,2.5,5.1,0.478,1.2,2.6,0.448,1.3,2.5,0.509,0.593,1.1,1.5,0.735,1.0,1.0,1.9,1.0,0.7,0.2,0.9,1.3,7.2
C,22,80,80,25.2,3.3,5.3,0.613,0.0,0.0,0.0,3.3,5.3,0.613,0.613,1.4,2.5,0.582,2.7,3.9,6.7,0.8,0.5,1.1,1.1,2.8,8.0
C,28,28,16,25.1,4.9,8.4,0.581,0.0,0.0,0.0,4.9,8.4,0.581,0.581,1.8,2.3,0.754,4.1,7.0,11.1,1.1,0.5,0.8,1.2,2.5,11.5
SF,27,10,3,10.9,0.4,1.0,0.4,0.4,0.8,0.5,0.0,0.2,0.0,0.6,0.0,0.2,0.0,0.1,0.8,0.9,0.7,0.2,0.3,0.2,1.2,1.2
C,31,47,18,23.3,5.2,10.7,0.485,0.0,0.0,0.0,5.2,10.7,0.485,0.485,1.5,2.4,0.649,1.2,5.2,6.4,1.5,0.6,0.9,0.7,2.5,12.0
C,27,77,77,33.7,4.6,6.6,0.703,0.0,0.0,0.0,4.6,6.6,0.704,0.703,3.5,8.0,0.43,3.5,10.3,13.8,1.2,0.7,2.3,1.4,2.7,12.7
C,34,19,19,28.2,5.9,13.0,0.453,2.2,5.5,0.39,3.7,7.5,0.5,0.536,0.7,0.9,0.778,0.8,6.1,6.9,3.6,0.9,0.8,1.3,1.7,14.7
SG,22,52,2,21.3,2.4,5.2,0.452,1.0,2.2,0.461,1.3,3.0,0.446,0.55,0.8,1.2,0.667,0.4,1.7,2.1,1.4,0.7,0.5,0.7,2.1,6.6
C,31,19,1,17.7,2.6,4.9,0.532,1.1,2.1,0.5,1.6,2.8,0.556,0.638,1.4,1.6,0.839,1.4,3.4,4.8,1.4,0.8,0.7,1.1,1.8,7.7
SF,24,16,0,14.7,2.6,4.9,0.519,1.7,4.0,0.422,0.9,0.9,0.933,0.69,0.4,0.6,0.778,0.1,1.0,1.1,0.5,0.1,0.0,0.2,1.2,7.3
C,28,29,0,21.8,2.5,4.8,0.514,0.1,0.4,0.25,2.4,4.4,0.539,0.525,1.6,2.1,0.742,2.8,3.2,6.0,1.2,0.7,0.7,0.7,1.7,6.7
PG,24,18,5,16.2,2.3,6.4,0.353,0.9,3.9,0.239,1.3,2.5,0.533,0.427,0.8,0.9,0.882,0.2,1.0,1.2,1.5,0.4,0.1,1.0,2.0,6.3
PG,22,4,0,3.3,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.3,0.3,0.3,0.5,0.0,0.0,0.5,0.5
PF,20,72,72,28.4,5.2,12.3,0.421,1.1,3.4,0.333,4.1,8.9,0.454,0.467,2.8,3.3,0.838,1.8,5.5,7.3,1.3,0.7,1.9,1.7,2.8,14.3
PF,26,27,6,19.6,2.0,4.7,0.414,1.3,3.3,0.378,0.7,1.4,0.5,0.547,0.7,0.9,0.72,0.6,2.5,3.1,0.9,0.3,0.0,0.4,1.2,5.9
C,23,11,0,12.6,1.5,3.4,0.432,0.0,0.0,0.0,1.5,3.4,0.432,0.432,1.1,1.5,0.75,0.6,2.7,3.4,0.4,0.1,1.4,0.5,1.3,4.0
PG,20,11,0,5.1,0.5,1.5,0.313,0.0,0.6,0.0,0.5,0.8,0.556,0.313,0.1,0.3,0.333,0.0,0.5,0.5,0.5,0.5,0.0,0.2,0.2,1.0
PF,31,53,53,33.5,6.8,14.5,0.467,1.5,4.2,0.365,5.2,10.3,0.508,0.52,4.0,5.1,0.795,0.9,6.5,7.4,2.4,0.7,0.6,1.5,1.9,19.1
C,21,7,0,4.4,1.0,1.4,0.7,0.0,0.0,0.0,1.0,1.4,0.7,0.7,1.0,2.0,0.5,0.6,1.6,2.1,0.4,0.1,0.6,0.1,0.6,3.0
SF,23,29,11,20.7,1.3,4.3,0.31,0.7,2.4,0.286,0.7,1.9,0.339,0.389,0.6,0.7,0.85,0.3,2.1,2.4,0.7,0.5,0.2,0.5,1.2,4.0
PG,29,27,1,19.8,2.7,5.7,0.471,0.7,2.0,0.327,2.0,3.7,0.55,0.529,0.7,1.0,0.741,0.4,1.7,2.1,2.4,0.8,0.2,1.1,2.2,6.8
SG,20,24,24,33.0,2.8,7.1,0.388,0.7,2.7,0.25,2.1,4.4,0.472,0.435,1.3,1.9,0.674,0.9,1.5,2.4,1.9,1.1,0.4,1.4,2.9,7.5
PF,32,36,12,15.8,3.9,6.9,0.556,0.2,0.4,0.462,3.7,6.6,0.561,0.568,1.9,2.5,0.736,1.4,2.7,4.1,0.9,0.3,0.3,0.6,1.9,9.8
SG,27,28,5,18.4,3.5,7.2,0.48,2.0,4.3,0.471,1.4,2.9,0.494,0.621,0.5,0.7,0.7,0.2,1.0,1.1,0.5,0.3,0.0,0.7,1.2,9.5
SF,20,12,0,8.0,1.2,2.4,0.483,0.4,1.5,0.278,0.8,0.9,0.818,0.569,0.5,0.8,0.667,0.3,0.7,1.0,0.3,0.3,0.3,0.3,1.3,3.3
PF,22,19,19,29.2,4.7,10.3,0.454,0.8,2.6,0.3,3.9,7.7,0.507,0.492,3.1,3.9,0.784,1.2,4.3,5.4,2.0,0.6,0.1,1.0,2.1,13.2
PG,28,56,56,31.4,5.3,12.4,0.422,1.4,3.8,0.363,3.9,8.6,0.449,0.478,3.4,4.1,0.834,0.5,2.5,2.9,6.1,1.2,0.3,1.5,1.8,15.3
PG,24,23,0,12.3,1.3,3.4,0.385,0.2,0.8,0.222,1.1,2.6,0.433,0.41,0.6,1.1,0.52,0.1,1.2,1.3,3.3,0.8,0.2,1.4,1.2,3.3
SG,22,12,0,3.5,0.4,1.6,0.263,0.1,0.8,0.111,0.3,0.8,0.4,0.289,0.3,0.3,0.75,0.0,0.3,0.3,0.1,0.0,0.0,0.3,0.1,1.2
PG,32,53,0,16.4,1.8,4.3,0.422,0.3,1.2,0.262,1.5,3.2,0.479,0.457,0.5,0.5,0.931,0.3,1.4,1.7,3.4,0.5,0.1,1.5,1.4,4.5
C,36,17,1,13.2,1.8,4.2,0.431,0.0,0.1,0.0,1.8,4.2,0.437,0.431,0.5,0.5,0.889,0.5,3.2,3.7,1.1,0.5,0.5,0.6,1.9,4.1
PG,25,77,77,36.2,7.4,17.5,0.424,1.5,4.3,0.351,5.9,13.3,0.448,0.467,3.5,4.5,0.791,0.5,4.4,4.9,10.2,1.9,0.8,4.1,2.1,19.9
SF,35,48,0,9.6,1.2,3.0,0.408,0.9,2.2,0.394,0.4,0.8,0.447,0.553,0.4,0.5,0.808,0.2,0.9,1.0,0.3,0.2,0.2,0.3,1.0,3.7
C,19,3,0,2.0,0.3,1.0,0.333,0.0,0.3,0.0,0.3,0.7,0.5,0.333,0.3,0.7,0.5,0.7,0.3,1.0,0.3,0.0,0.3,0.0,0.0,1.0
SG,20,29,0,6.9,0.4,1.2,0.306,0.2,0.9,0.231,0.2,0.3,0.5,0.389,0.0,0.1,0.25,0.1,0.8,0.9,0.3,0.2,0.0,0.2,0.6,1.0
PG,24,24,6,24.1,4.3,8.3,0.515,1.1,2.8,0.382,3.2,5.5,0.583,0.58,2.0,2.3,0.889,0.2,3.0,3.2,3.6,0.4,0.0,1.2,1.5,11.7
PG,23,64,0,21.3,4.1,9.9,0.413,1.4,4.0,0.344,2.7,5.9,0.46,0.483,1.0,1.3,0.817,0.3,1.5,1.8,2.3,0.5,0.1,1.3,1.3,10.6
C,22,13,0,8.7,2.2,4.2,0.519,0.3,1.2,0.267,1.8,3.0,0.615,0.556,0.2,0.4,0.6,1.2,2.5,3.8,0.3,0.2,0.8,0.3,1.1,4.8
C,19,60,30,22.8,4.4,8.8,0.498,0.1,0.2,0.214,4.4,8.6,0.506,0.501,1.5,2.0,0.727,1.1,4.4,5.5,0.7,0.4,1.4,1.1,2.6,10.3
SG,28,28,23,29.4,3.7,8.1,0.456,0.9,2.4,0.353,2.9,5.7,0.5,0.509,2.2,2.8,0.785,1.1,3.5,4.6,4.9,1.4,0.5,1.2,1.1,10.5
SG,27,29,29,31.1,5.1,11.5,0.441,1.0,3.1,0.311,4.1,8.4,0.49,0.483,3.1,3.8,0.82,0.6,3.0,3.6,4.3,0.9,0.2,2.2,2.7,14.2
SF,23,3,0,2.7,0.0,0.7,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.3,0.7,0.5,0.0,0.7,0.7,0.3,0.0,0.0,0.0,0.0,0.3
SG,27,20,2,15.2,2.2,5.8,0.374,1.4,4.2,0.337,0.8,1.6,0.469,0.496,0.7,0.9,0.722,0.4,1.8,2.2,1.0,0.6,0.1,1.1,1.3,6.4
SF,22,1,0,5.0,1.0,2.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
SF,25,17,0,9.4,1.2,2.2,0.526,0.2,0.8,0.231,1.0,1.5,0.68,0.566,0.5,0.6,0.8,0.6,1.4,2.0,0.9,0.4,0.0,0.5,0.5,3.0
C,27,3,0,9.3,1.0,2.3,0.429,0.0,0.0,0.0,1.0,2.3,0.429,0.429,0.0,0.0,0.0,1.0,1.3,2.3,0.0,0.0,1.0,1.0,3.0,2.0
SG,21,16,1,13.3,1.7,4.4,0.38,1.3,3.5,0.375,0.4,0.9,0.4,0.528,0.3,0.3,1.0,0.3,0.9,1.2,0.9,0.4,0.3,0.3,1.3,5.0
SF,23,21,0,14.5,1.2,3.3,0.357,0.6,1.9,0.325,0.6,1.4,0.4,0.45,0.6,0.8,0.765,0.4,1.1,1.5,0.7,0.3,0.3,0.3,1.9,3.6
C,22,81,81,32.9,6.8,13.1,0.521,0.0,0.1,0.333,6.8,13.0,0.522,0.522,2.6,7.2,0.355,4.9,9.9,14.8,0.8,1.5,1.4,1.9,3.0,16.2
PG,30,78,3,19.5,2.6,4.9,0.536,0.0,0.2,0.167,2.6,4.7,0.548,0.538,1.0,1.2,0.86,0.5,1.6,2.2,3.0,0.7,0.3,1.0,1.8,6.3
C,25,17,17,29.9,7.8,16.4,0.473,2.2,6.4,0.352,5.5,10.1,0.55,0.541,2.8,3.2,0.855,2.1,6.2,8.2,1.3,0.4,1.6,1.2,3.3,20.5
PF,21,5,0,11.0,1.8,4.4,0.409,0.0,0.6,0.0,1.8,3.8,0.474,0.409,0.0,0.0,0.0,1.4,0.6,2.0,0.6,0.2,0.8,1.0,0.8,3.6
SG,24,20,4,16.1,1.9,4.8,0.389,1.5,3.8,0.382,0.4,1.0,0.421,0.542,1.9,2.1,0.902,0.4,1.1,1.5,0.5,0.9,0.2,0.2,1.6,7.0
SF,21,13,0,14.7,1.2,3.6,0.34,0.9,2.9,0.316,0.3,0.7,0.444,0.468,0.4,0.5,0.714,0.5,1.8,2.3,0.5,0.0,0.3,0.7,1.8,3.8
C,25,27,9,22.2,3.0,4.9,0.611,0.0,0.0,0.0,3.0,4.9,0.611,0.611,0.4,1.4,0.316,3.0,4.0,7.0,1.7,0.6,1.5,1.1,2.1,6.4
PF,28,19,18,33.4,3.7,7.6,0.483,1.3,3.3,0.381,2.4,4.3,0.561,0.566,0.6,1.1,0.571,1.4,5.4,6.8,3.2,1.9,0.5,1.5,2.2,9.3
SF,24,80,9,17.9,3.2,7.1,0.45,0.6,1.9,0.293,2.6,5.2,0.506,0.488,2.4,3.2,0.758,0.6,3.1,3.7,0.9,0.4,0.1,0.8,0.9,9.3
C,34,25,24,18.8,2.4,5.8,0.411,0.5,2.2,0.222,1.9,3.7,0.522,0.452,0.3,0.4,0.778,1.5,3.9,5.4,1.0,0.3,0.3,0.8,2.5,5.6
PG,23,81,17,19.8,2.7,5.7,0.47,0.4,1.1,0.348,2.3,4.6,0.499,0.503,0.3,0.5,0.634,0.5,2.6,3.1,4.5,1.2,0.1,1.7,1.4,6.1
PG,32,62,18,19.5,1.9,4.9,0.384,1.1,3.2,0.347,0.8,1.7,0.453,0.497,0.5,0.7,0.756,0.4,1.2,1.6,2.4,1.2,0.2,1.1,2.6,5.3
C,31,52,52,34.4,6.3,13.6,0.464,0.0,0.1,0.667,6.3,13.5,0.463,0.465,3.9,4.7,0.829,1.1,5.8,7.0,3.8,1.0,1.3,2.3,2.7,16.6
SG,23,23,0,8.0,0.4,1.3,0.323,0.4,1.1,0.346,0.0,0.2,0.2,0.468,0.2,0.3,0.833,0.5,1.3,1.8,0.3,0.1,0.2,0.3,1.1,1.5
C,27,60,5,13.3,2.2,3.8,0.596,0.0,0.0,0.0,2.2,3.8,0.596,0.596,1.0,1.4,0.714,1.4,3.4,4.8,0.8,0.8,1.1,1.1,2.3,5.5
C,23,61,60,31.7,3.2,5.8,0.559,0.0,0.0,0.0,3.2,5.8,0.559,0.559,2.6,4.6,0.569,3.4,7.5,11.0,1.5,0.7,2.2,1.9,2.7,9.1
PF,20,24,1,13.1,1.5,4.3,0.353,0.4,1.6,0.256,1.1,2.6,0.413,0.402,0.7,1.0,0.739,0.6,1.8,2.4,0.6,0.4,0.1,0.7,1.5,4.1
SG,29,8,0,8.0,1.1,2.4,0.474,0.4,0.9,0.429,0.8,1.5,0.5,0.553,0.4,0.4,1.0,0.4,0.8,1.1,0.8,0.0,0.1,0.5,0.5,3.0
PG,33,27,0,17.8,1.7,5.1,0.336,1.2,3.3,0.364,0.5,1.8,0.286,0.453,1.3,1.4,0.895,0.4,0.8,1.2,3.0,0.5,0.0,0.8,0.7,5.9
PF,22,51,1,13.8,2.2,4.4,0.514,0.2,0.9,0.182,2.1,3.5,0.596,0.532,1.0,1.5,0.689,1.2,1.4,2.6,0.6,0.4,0.8,0.6,1.8,5.6
SF,20,22,16,22.9,2.5,6.0,0.424,1.2,3.5,0.355,1.3,2.5,0.518,0.527,0.5,0.9,0.579,0.5,4.4,4.9,1.6,0.8,0.2,0.8,2.8,6.8
SF,37,26,2,21.2,1.6,4.3,0.369,1.0,3.3,0.318,0.5,1.0,0.538,0.491,0.2,0.4,0.455,0.5,3.1,3.6,2.3,1.0,0.5,1.0,1.5,4.4
PG,28,21,6,18.9,3.1,6.7,0.468,1.0,2.7,0.368,2.1,4.0,0.536,0.543,0.8,1.0,0.8,0.5,1.8,2.2,1.7,1.0,0.1,0.6,1.3,8.0
PF,22,19,6,21.2,3.4,6.3,0.546,0.5,1.3,0.375,2.9,5.0,0.589,0.584,0.6,0.8,0.75,1.4,3.1,4.5,1.6,1.0,0.6,0.9,2.5,7.9
PF,25,59,29,14.8,2.0,3.6,0.556,0.3,0.8,0.388,1.7,2.8,0.606,0.6,0.8,1.2,0.735,1.1,2.1,3.2,0.5,0.5,0.4,0.5,1.7,5.2
SG,20,17,5,12.5,1.0,2.1,0.472,0.1,0.7,0.167,0.9,1.4,0.625,0.5,0.4,0.6,0.545,0.7,1.6,2.3,0.6,0.2,0.1,0.6,0.9,2.5
PG,27,71,63,28.7,3.6,8.4,0.434,1.7,4.4,0.4,1.9,4.0,0.472,0.539,0.8,1.2,0.682,1.0,2.5,3.5,3.4,1.3,0.4,1.3,3.3,9.9
C,33,53,0,9.4,1.0,2.3,0.427,0.0,0.0,0.0,1.0,2.3,0.431,0.427,0.6,0.9,0.64,0.7,2.0,2.7,0.7,0.3,0.2,0.4,1.3,2.6
SG,24,5,0,4.8,0.2,1.0,0.2,0.0,0.2,0.0,0.2,0.8,0.25,0.2,0.4,0.4,1.0,0.0,0.4,0.4,0.6,0.2,0.0,1.2,1.4,0.8
C,23,10,10,27.1,5.9,9.1,0.648,0.9,2.1,0.429,5.0,7.0,0.714,0.698,1.6,2.4,0.667,1.8,4.3,6.1,1.5,0.4,0.8,1.1,3.1,14.3
PF,21,28,2,14.6,2.6,4.4,0.59,0.0,0.0,0.0,2.6,4.4,0.59,0.59,1.3,2.4,0.561,1.3,2.7,4.0,0.6,0.4,0.5,1.0,1.9,6.5
SG,27,16,0,3.4,0.4,1.2,0.316,0.0,0.1,0.0,0.4,1.1,0.333,0.316,0.3,0.4,0.833,0.2,0.4,0.6,0.5,0.1,0.0,0.3,0.2,1.1
SF,23,82,0,20.5,3.9,8.3,0.465,0.5,1.9,0.289,3.3,6.5,0.516,0.498,2.3,3.0,0.764,1.2,2.0,3.3,0.6,0.3,0.1,0.9,1.1,10.5
C,22,7,0,2.6,0.4,0.7,0.6,0.0,0.0,0.0,0.4,0.7,0.6,0.6,0.1,0.3,0.5,0.1,0.4,0.6,0.1,0.1,0.0,0.0,0.1,1.0
PG,29,12,10,24.3,3.5,8.3,0.42,1.3,3.8,0.356,2.2,4.6,0.473,0.5,0.8,0.8,1.0,0.3,1.8,2.1,3.1,1.3,0.2,1.5,1.8,9.2
SF,23,10,0,10.8,1.6,3.3,0.485,0.2,0.9,0.222,1.4,2.4,0.583,0.515,0.7,1.1,0.636,0.4,1.7,2.1,0.6,0.2,0.0,0.9,1.5,4.1
C,31,29,29,24.2,4.8,9.2,0.515,1.0,2.7,0.377,3.8,6.6,0.571,0.569,1.2,1.5,0.818,1.9,4.8,6.7,1.7,0.2,1.2,1.3,1.9,11.8
C,28,26,16,22.5,2.7,4.6,0.58,0.0,0.0,0.0,2.7,4.5,0.585,0.58,0.8,1.8,0.447,2.2,3.6,5.8,1.3,0.2,1.2,0.9,2.3,6.1
SG,25,19,8,23.9,3.2,7.4,0.429,2.3,5.3,0.436,0.8,2.1,0.41,0.586,1.7,1.9,0.892,0.4,2.5,2.9,2.1,1.0,0.2,1.1,1.3,10.4
PG,23,4,0,14.3,2.3,5.8,0.391,0.5,2.0,0.25,1.8,3.8,0.467,0.435,0.8,1.0,0.75,0.5,1.0,1.5,2.0,0.0,0.3,1.0,0.3,5.8
SF,36,35,5,16.9,1.6,5.1,0.311,0.7,2.4,0.31,0.8,2.7,0.312,0.384,1.1,1.6,0.702,0.5,2.0,2.5,0.8,0.6,0.3,0.4,1.9,5.0
PG,32,20,20,24.2,2.7,6.2,0.435,1.8,4.0,0.443,1.0,2.3,0.422,0.577,1.1,1.5,0.759,1.0,3.2,4.2,2.2,1.0,0.8,0.8,3.4,8.3
SG,21,76,76,32.1,4.7,10.1,0.469,1.4,3.9,0.354,3.3,6.2,0.543,0.538,1.4,1.8,0.82,0.7,2.2,2.9,1.9,1.3,0.2,1.3,1.9,12.3
SF,38,68,38,18.1,2.1,5.8,0.363,1.1,3.6,0.31,1.0,2.3,0.445,0.457,0.8,1.0,0.818,0.2,2.6,2.7,1.0,0.5,0.3,0.9,1.9,6.1
PF,30,26,26,31.4,2.7,7.2,0.371,1.7,5.1,0.333,1.0,2.1,0.463,0.489,0.6,0.7,0.889,0.8,5.4,6.2,1.8,1.6,0.9,1.0,2.6,7.6
SF,35,74,5,17.9,1.9,4.2,0.458,0.9,2.3,0.382,1.0,1.9,0.554,0.564,0.8,1.2,0.667,0.2,1.5,1.7,0.8,0.4,0.2,0.6,1.7,5.5
SG,28,9,2,23.7,3.3,8.7,0.385,2.3,6.4,0.362,1.0,2.2,0.45,0.519,0.9,1.0,0.889,0.2,3.6,3.8,2.1,0.4,0.1,1.2,2.0,9.9
SG,27,78,13,26.3,3.8,9.3,0.412,1.0,2.9,0.336,2.9,6.4,0.446,0.464,3.1,3.7,0.815,0.5,2.7,3.2,3.0,0.7,0.5,1.9,2.1,11.7
SF,20,7,0,7.3,0.6,2.6,0.222,0.1,1.1,0.125,0.4,1.4,0.3,0.25,0.4,1.0,0.429,0.1,1.1,1.3,1.0,0.0,0.0,0.6,1.0,1.7
SG,27,26,15,28.3,5.5,11.8,0.464,2.3,5.3,0.424,3.2,6.5,0.497,0.56,3.0,3.4,0.876,0.4,2.5,2.9,1.5,1.1,0.2,1.4,2.0,16.3
PF,20,8,0,4.5,0.6,1.3,0.5,0.0,0.0,0.0,0.6,1.3,0.5,0.5,0.0,0.0,0.0,0.3,0.5,0.8,0.0,0.1,0.3,0.1,0.1,1.3
C,27,4,0,4.5,0.3,0.8,0.333,0.0,0.0,0.0,0.3,0.8,0.333,0.333,0.5,1.0,0.5,0.5,0.5,1.0,0.3,0.0,0.5,0.3,0.3,1.0
SG,24,31,3,25.7,4.4,10.8,0.41,1.0,2.5,0.405,3.4,8.2,0.412,0.458,3.4,4.5,0.752,0.5,3.0,3.5,2.0,0.6,0.1,1.6,2.3,13.3
PF,22,24,6,19.3,1.9,4.3,0.451,0.9,2.2,0.415,1.0,2.0,0.49,0.559,0.6,1.2,0.517,1.0,2.0,3.0,1.0,0.5,0.4,1.0,3.0,5.4
SF,25,11,0,3.9,0.5,1.6,0.333,0.2,0.7,0.25,0.4,0.9,0.4,0.389,0.0,0.0,0.0,0.1,0.9,1.0,0.0,0.2,0.0,0.4,0.4,1.3
C,24,39,0,12.7,1.5,2.7,0.548,0.0,0.0,0.0,1.5,2.7,0.548,0.548,0.5,1.2,0.422,1.1,2.9,4.0,0.4,0.4,0.5,0.6,2.0,3.4
C,31,70,66,20.7,2.5,4.0,0.627,0.0,0.0,1.0,2.5,4.0,0.626,0.629,0.3,0.7,0.48,1.7,5.3,7.0,2.3,0.5,1.6,1.2,3.2,5.4
PF,28,79,2,20.7,2.4,4.9,0.49,0.2,0.5,0.293,2.3,4.4,0.513,0.505,0.9,1.3,0.67,2.1,3.6,5.7,1.1,0.7,0.5,1.0,2.1,5.9
SG,22,15,0,21.1,3.6,8.0,0.45,2.2,4.4,0.5,1.4,3.6,0.389,0.588,1.1,1.3,0.85,0.3,2.0,2.3,1.8,0.3,0.1,1.1,1.3,10.5
PG,30,27,12,25.1,2.5,6.7,0.37,0.6,2.1,0.276,1.9,4.6,0.415,0.414,1.6,2.0,0.83,0.4,3.0,3.4,6.5,1.3,0.0,2.1,2.2,7.2
SG,27,16,10,21.8,2.6,4.7,0.56,0.7,1.6,0.423,1.9,3.1,0.633,0.633,0.6,0.9,0.714,0.8,4.0,4.8,2.3,0.6,0.7,1.1,2.3,6.6
C,28,34,2,10.9,2.3,3.9,0.575,0.0,0.0,0.0,2.3,3.9,0.579,0.575,0.5,1.1,0.5,1.6,2.4,3.9,0.1,0.1,0.8,0.6,1.4,5.1
PF,23,14,14,30.4,6.8,13.2,0.514,2.9,7.2,0.396,3.9,6.0,0.655,0.622,2.7,3.2,0.844,0.6,5.5,6.1,0.9,0.6,0.4,1.7,2.2,19.1
